enhedsnummer,cvrnummer,felttype,branchekode,branchetekst,gyldigfra,gyldigtil
4608112,12245343,hovedbranche,412000,Opførelse af bygninger,2013-03-01,2200-01-01
4000833224,12245599,bibranche1,466900,Engroshandel med andre maskiner og andet udstyr,2008-01-02,2200-01-01
4000833224,12245599,hovedbranche,265100,"Fremstilling af udstyr til måling, afprøvning, navigation og kontrol",2008-01-01,2200-01-01
4000833229,12245742,bibranche1,108900,Fremstilling af andre fødevarer i.a.n.,2008-01-02,2200-01-01
4000833229,12245742,hovedbranche,212000,Fremstilling af farmaceutiske præparater,2008-01-01,2200-01-01
4000833235,12245904,hovedbranche,491000,Passagertransport med regional- eller fjerntog,2008-01-01,2200-01-01
4000839615,12252528,bibranche1,855900,Anden undervisning i.a.n.,2008-01-01,2200-01-01
4000839615,12252528,bibranche2,465100,"Engroshandel med computere, ydre enheder og software",2008-01-01,2200-01-01
4000839615,12252528,hovedbranche,620200,Konsulentbistand vedrørende informationsteknologi,2008-01-01,2200-01-01
2708063,12259387,bibranche1,711210,Rådgivende ingeniørvirksomhed inden for byggeri og anlægsarbejder,2008-01-02,2200-01-01
2708063,12259387,hovedbranche,711100,Arkitektvirksomhed,2008-01-01,2200-01-01
4000330700,12259484,hovedbranche,464330,"Engroshandel med indspillede videoer, cd'er, dvd'er mv.",2008-01-01,2200-01-01
4000834140,12279000,hovedbranche,251100,Fremstilling af metalkonstruktioner og dele heraf,2008-01-01,2200-01-01
5129513,12295332,hovedbranche,522920,Speditører,2008-01-01,2200-01-01
4000832172,12296878,hovedbranche,711220,Rådgivende ingeniørvirksomhed inden for produktions- og maskinteknik,2008-01-01,2200-01-01
4000833980,12315600,hovedbranche,466900,Engroshandel med andre maskiner og andet udstyr,2008-01-01,2200-01-01
4821827,12322305,hovedbranche,773900,"Udlejning og leasing af andet materiel, udstyr og andre materielle aktiver i.a.n.",2008-01-01,2200-01-01
4000330720,12341903,hovedbranche,464220,Engroshandel med fodtøj,2008-01-01,2200-01-01
4000835133,12369603,hovedbranche,791200,Rejsearrangører,2008-01-01,2200-01-01
4000835651,12372892,hovedbranche,681000,Køb og salg af egen fast ejendom,2008-01-01,2200-01-01
1317181,12374674,hovedbranche,422100,Anlæg af ledningsnet til væsker,2014-01-01,2200-01-01
1312300,12375107,hovedbranche,433300,Udførelse af gulvbelægninger og vægbeklædning,2008-01-01,2200-01-01
4000835689,12375344,hovedbranche,281400,Fremstilling af andre haner og ventiler,2008-01-01,2200-01-01
2300302,12376405,bibranche1,821100,Kombinerede administrationsserviceydelser,2016-01-01,2016-01-02
2300302,12376405,hovedbranche,581410,Udgivelse af ugeblade og magasiner,2008-01-01,2200-01-01
4000330732,12376936,hovedbranche,522920,Speditører,2008-01-01,2200-01-01
4000330735,12378300,bibranche1,241000,Fremstilling af råjern og råstål samt jernlegeringer,2008-01-01,2014-12-31
4000330735,12378300,bibranche1,302000,Fremstilling af lokomotiver og andet rullende materiel til jernbaner og sporveje,2015-01-01,2200-01-01
4000330735,12378300,bibranche2,682040,Udlejning af erhvervsejendomme,2014-04-01,2200-01-01
4000330735,12378300,bibranche3,682040,Udlejning af erhvervsejendomme,2014-04-01,2014-04-01
4000330735,12378300,bibranche3,331400,Reparation af elektrisk udstyr,2015-01-01,2200-01-01
4000330735,12378300,bibranche3,271000,Fremstilling af råjern og råstål samt jernlegeringer,1988-08-01,2014-03-31
4000330735,12378300,hovedbranche,620200,Konsulentbistand vedrørende informationsteknologi,2015-01-01,2200-01-01
4000330735,12378300,hovedbranche,302000,Fremstilling af lokomotiver og andet rullende materiel til jernbaner og sporveje,2011-01-01,2014-12-31
4000836371,12379447,bibranche1,206000,Fremstilling af kemofibre,2008-01-02,2200-01-01
4000836371,12379447,hovedbranche,222100,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",2008-01-01,2200-01-01
4000836373,12379498,hovedbranche,582900,Anden udgivelse af software,2008-01-01,2200-01-01
4000834941,12380186,hovedbranche,731190,Anden reklamevirksomhed,2008-01-02,2200-01-01
4000832835,12381603,hovedbranche,289900,Fremstilling af øvrige maskiner til specielle formål i.a.n.,2008-01-01,2200-01-01
1706384,12386605,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-01,2200-01-01
1706384,12386605,bibranche2,452010,Autoreparationsværksteder mv.,2008-01-01,2200-01-01
1706384,12386605,hovedbranche,453200,Detailhandel med reservedele og tilbehør til motorkøretøjer,2008-01-01,2200-01-01
3659514,12419201,hovedbranche,467400,"Engroshandel med isenkram, varmeanlæg og tilbehør",2008-01-01,2200-01-01
2115912,12422644,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4000686101,12425694,hovedbranche,105100,Mejerier samt ostefremstilling,2008-01-01,2200-01-01
4000837254,12458339,hovedbranche,889910,"Foreninger, legater og fonde med sygdomsbekæmpende, sociale og velgørende formål",2017-03-16,2200-01-01
4000837254,12458339,hovedbranche,682040,Udlejning af erhvervsejendomme,2008-01-01,2017-03-15
4000852111,12467486,hovedbranche,451120,"Detailhandel med personbiler, varebiler og minibusser",2008-01-01,2200-01-01
5024709,12473192,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-02,2200-01-01
5024709,12473192,hovedbranche,522210,Erhvervshavne,2008-01-01,2200-01-01
4000829022,12483589,bibranche1,472200,Slagter- og viktualieforretninger,2015-05-11,2200-01-01
4000829022,12483589,hovedbranche,101300,Produktion af kød- og fjerkrækødprodukter,2008-01-01,2200-01-01
2450541,12485409,hovedbranche,466300,Engroshandel med maskiner til minedrift og bygge- og anlægsvirksomhed,2008-01-01,2200-01-01
2450551,12485484,hovedbranche,467310,"Engroshandel med træ, trælast og byggematerialer",2008-01-01,2200-01-01
4000845688,12493681,bibranche1,222300,Fremstilling af bygningsartikler af plast,2008-01-02,2018-03-31
4000845688,12493681,bibranche1,222300,Fremstilling af bygningsartikler af plast,2018-04-01,2200-01-01
4000845688,12493681,hovedbranche,251200,Fremstilling af døre og vinduer af metal,2008-01-01,2018-03-31
4000845688,12493681,hovedbranche,251200,Fremstilling af døre og vinduer af metal,2018-04-01,2200-01-01
4000330755,12498683,hovedbranche,682040,Udlejning af erhvervsejendomme,2008-01-01,2200-01-01
4000846297,12499191,hovedbranche,162300,Fremstilling af bygningstømmer og snedkeriartikler i øvrigt,2008-01-01,2200-01-01
2644409,12503474,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4000847173,12503997,bibranche1,561010,Restauranter,2012-01-01,2200-01-01
4000847173,12503997,hovedbranche,932100,Forlystelsesparker o.l.,2008-01-01,2200-01-01
4000847176,12504144,bibranche1,466300,Engroshandel med maskiner til minedrift og bygge- og anlægsvirksomhed,2008-01-02,2200-01-01
4000847176,12504144,hovedbranche,773200,Udlejning og leasing af entreprenørmateriel,2008-01-01,2200-01-01
4000847195,12505078,hovedbranche,222100,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",2008-01-01,2200-01-01
4000845840,12509383,hovedbranche,464700,"Engroshandel med møbler, tæpper og belysningsartikler",2008-01-01,2200-01-01
2695764,12509480,bibranche1,381100,Indsamling af ikke-farligt affald,2008-01-02,2200-01-01
2695764,12509480,hovedbranche,494100,Vejgodstransport,2008-01-01,2200-01-01
4000845856,12510179,hovedbranche,466900,Engroshandel med andre maskiner og andet udstyr,2008-01-01,2200-01-01
4000845858,12510241,hovedbranche,451920,Engros- og detailhandel med lastbiler og påhængsvogne mv.,2008-01-01,2014-03-10
4000846793,12510675,bibranche1,452010,Autoreparationsværksteder mv.,2014-09-01,2200-01-01
4000846793,12510675,hovedbranche,370000,Opsamling og behandling af spildevand,2008-01-01,2200-01-01
4707490,12511973,hovedbranche,773900,"Udlejning og leasing af andet materiel, udstyr og andre materielle aktiver i.a.n.",2008-01-01,2200-01-01
4000840855,12514174,bibranche1,631100,"Databehandling, webhosting og lignende serviceydelser",2008-01-02,2016-06-06
4000840855,12514174,hovedbranche,620100,Computerprogrammering,2008-01-01,2016-06-06
4000841812,12514379,bibranche1,467600,Engroshandel med andre råvarer og halvfabrikata,2008-01-02,2200-01-01
4000841812,12514379,hovedbranche,222200,Fremstilling af plastemballage,2008-01-01,2200-01-01
4000841852,12516479,hovedbranche,205900,Fremstilling af andre kemiske produkter i.a.n.,2008-01-01,2200-01-01
4000841858,12516770,hovedbranche,466100,"Engroshandel med landbrugsmaskiner, -udstyr og tilbehør hertil",2008-01-01,2200-01-01
4000841860,12516835,hovedbranche,620200,Konsulentbistand vedrørende informationsteknologi,2008-01-01,2200-01-01
117618,12523246,hovedbranche,692000,Bogføring og revision: skatterådgivning,2008-01-01,2200-01-01
5282257,12534272,hovedbranche,472100,Frugt- og grøntforretninger,2016-12-29,2016-12-31
5282257,12534272,hovedbranche,649900,"Anden finansiel formidling undtagen forsikring og pensionsforsikring, i.a.n.",2017-01-01,2200-01-01
5282257,12534272,hovedbranche,463100,Engroshandel med frugt og grøntsager,2008-01-01,2016-12-28
4000847014,12538944,hovedbranche,682030,Anden udlejning af boliger,2016-01-01,2200-01-01
4000847014,12538944,hovedbranche,682040,Udlejning af erhvervsejendomme,2012-07-04,2015-12-31
4000847035,12539908,bibranche1,259900,Fremstilling af andre færdige metalprodukter i.a.n.,2008-01-02,2200-01-01
4000847035,12539908,hovedbranche,251100,Fremstilling af metalkonstruktioner og dele heraf,2008-01-01,2200-01-01
4000468186,12542976,bibranche1,561010,Restauranter,2018-01-01,2200-01-01
4000468186,12542976,hovedbranche,479111,Detailhandel med dagligvarer via internet,2014-01-01,2200-01-01
2856773,12546106,hovedbranche,721100,Forskning og eksperimentel udvikling indenfor bioteknologi,2008-01-01,2200-01-01
4000841129,12552688,bibranche1,620100,Computerprogrammering,2008-01-02,2200-01-01
4000841129,12552688,hovedbranche,465100,"Engroshandel med computere, ydre enheder og software",2008-01-01,2200-01-01
4336743,12559496,bibranche1,476410,Forhandlere af sports- og campingudstyr,2008-11-01,2200-01-01
4336743,12559496,hovedbranche,464910,"Engroshandel med cykler, sportsartikler og lystbåde",2008-01-01,2200-01-01
4000844131,12559542,hovedbranche,467400,"Engroshandel med isenkram, varmeanlæg og tilbehør",2008-01-01,2200-01-01
4000548452,12559976,bibranche1,467600,Engroshandel med andre råvarer og halvfabrikata,2015-12-08,2200-01-01
4000548452,12559976,bibranche1,222900,Fremstilling af andre plastprodukter,2008-01-01,2015-12-07
4000548452,12559976,bibranche2,222900,Fremstilling af andre plastprodukter,2018-01-01,2018-01-01
4000548452,12559976,hovedbranche,467600,Engroshandel med andre råvarer og halvfabrikata,2008-01-01,2015-12-07
4000548452,12559976,hovedbranche,222900,Fremstilling af andre plastprodukter,2015-12-08,2017-12-31
4000548452,12559976,hovedbranche,222100,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",2018-01-01,2200-01-01
4000330793,12560796,hovedbranche,701010,Ikke-finansielle hovedsæders virksomhed,2013-01-01,2200-01-01
3076698,12561113,bibranche1,467500,Engroshandel med kemiske produkter,2008-01-02,2200-01-01
3076698,12561113,bibranche2,682040,Udlejning af erhvervsejendomme,2015-01-26,2200-01-01
3076698,12561113,hovedbranche,466200,Engroshandel med værktøjsmaskiner,2008-01-01,2200-01-01
4000330794,12562233,bibranche1,439990,"Anden bygge- og anlægsvirksomhed, som kræver specialisering",2008-01-01,2200-01-01
4000330794,12562233,bibranche2,429100,"Anlæg af vandveje, havne, diger og dæmninger",2014-01-01,2200-01-01
4000330794,12562233,bibranche3,683210,Administration af fast ejendom på kontraktbasis,2008-01-01,2200-01-01
4000330794,12562233,hovedbranche,412000,Opførelse af bygninger,2008-01-01,2200-01-01
2561278,12578970,hovedbranche,620100,Computerprogrammering,2008-01-01,2200-01-01
4000847519,12596774,hovedbranche,551010,Hoteller,2008-01-02,2200-01-01
4000849469,12598734,bibranche1,431100,Nedrivning,2008-01-02,2200-01-01
4000849469,12598734,hovedbranche,431200,Forberedende byggepladsarbejder,2008-01-01,2200-01-01
4000849797,12601840,bibranche1,682040,Udlejning af erhvervsejendomme,2008-03-01,2200-01-01
4000849797,12601840,hovedbranche,682030,Anden udlejning af boliger,2008-01-01,2200-01-01
4000849869,12604645,hovedbranche,649900,"Anden finansiel formidling undtagen forsikring og pensionsforsikring, i.a.n.",2008-01-01,2200-01-01
2391376,12616406,bibranche1,463810,Engroshandel med fisk og fiskeprodukter,2008-01-02,2200-01-01
2391376,12616406,bibranche2,32200,Ferskvandsbrug,2018-10-01,2200-01-01
2391376,12616406,hovedbranche,102020,"Forarbejdning og konservering af fisk, krebsdyr og bløddyr, undtagen fiskemel",2008-01-01,2200-01-01
4000862210,12617585,bibranche1,463810,Engroshandel med fisk og fiskeprodukter,2008-01-02,2016-06-30
4000862210,12617585,hovedbranche,649900,"Anden finansiel formidling undtagen forsikring og pensionsforsikring, i.a.n.",2016-07-01,2016-11-16
4000862210,12617585,hovedbranche,102020,"Forarbejdning og konservering af fisk, krebsdyr og bløddyr, undtagen fiskemel",2008-01-01,2016-06-30
4000330809,12617917,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2019-04-05
4000862230,12618735,bibranche1,11100,"Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø",2010-01-01,2200-01-01
4000862230,12618735,hovedbranche,16400,Forarbejdning af frø/sædekorn til udsæd,2010-01-01,2200-01-01
4000862232,12618875,hovedbranche,602000,Tv-virksomhed,2008-01-01,2200-01-01
2570633,12622406,hovedbranche,21000,Dyrkning af træer og andre skovbrugsaktiviteter,2008-01-01,2200-01-01
4000862867,12624638,hovedbranche,139300,Fremstilling af tæpper,2008-01-01,2200-01-01
4000852198,12625995,bibranche1,452010,Autoreparationsværksteder mv.,2008-01-02,2200-01-01
4000852198,12625995,bibranche2,522120,Parkering og vejhjælp mv.,2016-02-01,2200-01-01
4000852198,12625995,hovedbranche,494100,Vejgodstransport,2008-01-01,2200-01-01
4000852552,12630077,hovedbranche,256200,Maskinforarbejdning,2008-01-01,2200-01-01
4000852835,12631707,hovedbranche,463200,Engroshandel med kød og kødprodukter,2010-02-01,2200-01-01
4000845579,12634404,bibranche1,451110,"Engroshandel med personbiler, varebiler og minibusser",2012-01-01,2200-01-01
4000845579,12634404,hovedbranche,494100,Vejgodstransport,2008-01-01,2200-01-01
4000845900,12643047,bibranche1,562900,Anden restaurationsvirksomhed,2008-01-01,2200-01-01
4000845900,12643047,hovedbranche,812100,Almindelig rengøring i bygninger,2008-01-01,2200-01-01
4000846407,12645899,hovedbranche,889910,"Foreninger, legater og fonde med sygdomsbekæmpende, sociale og velgørende formål",2008-07-01,2200-01-01
4000846410,12646372,hovedbranche,466900,Engroshandel med andre maskiner og andet udstyr,2013-01-01,2200-01-01
4000849296,12654391,bibranche1,467200,Engroshandel med metaller og metalmalme,2008-01-02,2200-01-01
4000849296,12654391,hovedbranche,256100,Overfladebehandling af metal,2008-01-01,2200-01-01
1778350,12654693,hovedbranche,511010,Ruteflyvning,2008-01-01,2200-01-01
5300651,12655142,hovedbranche,467100,"Engroshandel med fast, flydende og luftformigt brændstof og lignende varer",2008-01-01,2200-01-01
4000849320,12655681,bibranche1,682040,Udlejning af erhvervsejendomme,2011-09-01,2200-01-01
4000849320,12655681,bibranche2,282200,Fremstilling af løfte- og håndteringsudstyr,2018-02-06,2200-01-01
4000849320,12655681,hovedbranche,711220,Rådgivende ingeniørvirksomhed inden for produktions- og maskinteknik,2008-01-01,2200-01-01
4000849327,12655886,hovedbranche,310200,Fremstilling af køkkenmøbler,2008-01-01,2200-01-01
4000849331,12655983,hovedbranche,511020,Charter- og taxiflyvning,2008-01-01,2200-01-01
4000849979,12658575,hovedbranche,464210,Engroshandel med beklædning,2008-01-01,2200-01-01
4000850043,12661770,hovedbranche,381100,Indsamling af ikke-farligt affald,2010-03-02,2200-01-01
4000330825,12667833,bibranche1,464330,"Engroshandel med indspillede videoer, cd'er, dvd'er mv.",2013-10-01,2200-01-01
4000330825,12667833,hovedbranche,592000,Indspilning af lydoptagelser og udgivelse af musik,2013-10-01,2200-01-01
4000842318,12668988,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-02,2200-01-01
4000842318,12668988,hovedbranche,477840,Kunsthandel og gallerivirksomhed,2008-01-01,2200-01-01
4000842324,12669194,hovedbranche,494100,Vejgodstransport,2008-01-01,2200-01-01
5064715,12669704,hovedbranche,711290,Anden teknisk rådgivning,2008-01-01,2200-01-01
3655533,12673213,bibranche1,471110,Købmænd og døgnkiosker,2008-01-01,2200-01-01
3655533,12673213,bibranche2,471120,Supermarkeder,2012-06-25,2200-01-01
3655533,12673213,hovedbranche,471900,Anden detailhandel fra ikke-specialiserede forretninger,2008-01-01,2200-01-01
4000848540,12673310,hovedbranche,466900,Engroshandel med andre maskiner og andet udstyr,2008-01-01,2200-01-01
4000848916,12679475,bibranche1,11300,"Dyrkning af grøntsager og meloner, rødder og rodknolde",2008-01-02,2200-01-01
4000848916,12679475,hovedbranche,12800,"Dyrkning af krydderiplanter, aromaplanter og lægeplanter",2008-01-01,2200-01-01
2203755,12695209,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-12-16,2200-01-01
2715291,12700377,bibranche1,432200,VVS- og blikkenslagerforretninger,2008-01-01,2200-01-01
2715291,12700377,bibranche2,432900,Anden bygningsinstallationsvirksomhed,2008-01-01,2200-01-01
2715291,12700377,bibranche3,802000,Serviceydelser i forbindelse med sikkerhedssystemer,2008-01-01,2200-01-01
2715291,12700377,hovedbranche,412000,Opførelse af bygninger,2009-09-30,2200-01-01
4004374927,12714963,hovedbranche,31100,Havfiskeri,2019-02-14,2200-01-01
4000844489,12718241,hovedbranche,464340,Engroshandel med fotografiske og optiske artikler,2008-01-01,2200-01-01
5772474,12721307,bibranche1,464100,Engroshandel med tekstiler,2008-01-01,2200-01-01
5772474,12721307,hovedbranche,132000,Vævning af tekstiler,2008-01-01,2200-01-01
766227,12759274,bibranche1,711210,Rådgivende ingeniørvirksomhed inden for byggeri og anlægsarbejder,2015-08-01,2200-01-01
766227,12759274,hovedbranche,711290,Anden teknisk rådgivning,2008-01-01,2200-01-01
4000609767,12759282,hovedbranche,465100,"Engroshandel med computere, ydre enheder og software",2016-11-01,2200-01-01
4000609767,12759282,hovedbranche,262000,Fremstilling af computere og ydre enheder,2008-01-01,2016-10-31
4000847964,12759444,hovedbranche,262000,Fremstilling af computere og ydre enheder,2018-01-01,2200-01-01
4000847964,12759444,hovedbranche,264000,Fremstilling af elektronik til husholdninger,2013-01-01,2017-12-31
4799656,12760043,bibranche1,201400,Fremstilling af andre organiske basiskemikalier,2008-01-02,2200-01-01
4799656,12760043,bibranche2,467500,Engroshandel med kemiske produkter,2008-01-01,2200-01-01
4799656,12760043,hovedbranche,202000,Fremstilling af pesticider og andre agrokemiske produkter,2008-01-01,2200-01-01
4000844547,12762704,hovedbranche,332000,Installation af industrimaskiner og -udstyr,2008-01-01,2200-01-01
4000842436,12790015,hovedbranche,467310,"Engroshandel med træ, trælast og byggematerialer",2008-01-01,2200-01-01
2391373,12803192,hovedbranche,102020,"Forarbejdning og konservering af fisk, krebsdyr og bløddyr, undtagen fiskemel",2008-01-01,2200-01-01
4000849144,12812833,hovedbranche,466200,Engroshandel med værktøjsmaskiner,2008-01-01,2200-01-01
4331646,12821948,hovedbranche,331400,Reparation af elektrisk udstyr,2008-01-01,2200-01-01
2375739,12825242,hovedbranche,701010,Ikke-finansielle hovedsæders virksomhed,2008-01-01,2200-01-01
4000847103,12843488,hovedbranche,731110,Reklamebureauer,2008-01-01,2014-12-31
4000847103,12843488,hovedbranche,731200,Reklameplads i medier,2015-01-01,2200-01-01
1531569,12843747,hovedbranche,251100,Fremstilling af metalkonstruktioner og dele heraf,2008-01-01,2200-01-01
2538569,12852681,bibranche1,465100,"Engroshandel med computere, ydre enheder og software",2008-01-01,2200-01-01
2538569,12852681,bibranche2,465220,Engroshandel med telekommunikationsudstyr,2012-10-01,2014-01-30
2538569,12852681,bibranche3,822000,Call centres virksomhed,2012-10-01,2014-01-30
2538569,12852681,hovedbranche,263000,Fremstilling af kommunikationsudstyr,2008-01-01,2200-01-01
4000853455,12854277,hovedbranche,279000,Fremstilling af andet elektrisk udstyr,2010-02-18,2200-01-01
2335530,12863233,hovedbranche,701010,Ikke-finansielle hovedsæders virksomhed,2008-01-01,2200-01-01
4000840705,12863241,hovedbranche,466300,Engroshandel med maskiner til minedrift og bygge- og anlægsvirksomhed,2008-01-01,2200-01-01
4000846947,12873581,hovedbranche,161000,Udsavning og høvling af træ,2008-01-01,2200-01-01
4000847205,12874294,hovedbranche,702100,Public relations og kommunikation,2008-01-01,2200-01-01
5178648,12874383,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
5059309,12899602,hovedbranche,682040,Udlejning af erhvervsejendomme,2008-01-01,2200-01-01
5424621,12900538,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4000841383,12900732,bibranche1,464320,Engroshandel med radio og tv mv.,2013-01-01,2017-12-31
4000841383,12900732,hovedbranche,464320,Engroshandel med radio og tv mv.,2018-01-01,2200-01-01
4000841383,12900732,hovedbranche,264000,Fremstilling af elektronik til husholdninger,2013-01-01,2017-12-31
3108722,12903545,hovedbranche,465100,"Engroshandel med computere, ydre enheder og software",2008-01-01,2200-01-01
4000841444,12903898,hovedbranche,643030,Investeringsselskaber,2008-01-01,2200-01-01
4000865295,12932375,bibranche1,781000,Arbejdsformidlingskontorer,2008-01-02,2200-01-01
4000865295,12932375,hovedbranche,782000,Vikarbureauer,2008-01-01,2200-01-01
3160447,12932502,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-02,2017-07-17
3160447,12932502,bibranche1,551010,Hoteller,2017-07-18,2200-01-01
3160447,12932502,bibranche2,682030,Anden udlejning af boliger,2017-07-18,2200-01-01
3160447,12932502,hovedbranche,682030,Anden udlejning af boliger,2008-01-01,2017-07-17
3160447,12932502,hovedbranche,682040,Udlejning af erhvervsejendomme,2017-07-18,2200-01-01
5150711,12937814,hovedbranche,471120,Supermarkeder,2008-01-01,2200-01-01
4000838980,12938179,hovedbranche,749090,"Andre liberale, videnskabelige og tekniske tjenesteydelser i.a.n.",2008-01-01,2200-01-01
4000838982,12938241,hovedbranche,467500,Engroshandel med kemiske produkter,2008-01-01,2200-01-01
4000839010,12940033,hovedbranche,325000,Fremstilling af medicinske og dentale instrumenter samt udstyr hertil,2008-01-01,2200-01-01
4000839050,12941897,hovedbranche,451120,"Detailhandel med personbiler, varebiler og minibusser",2008-01-01,2200-01-01
4000848637,12953399,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-02,2200-01-01
4000848637,12953399,hovedbranche,412000,Opførelse af bygninger,2008-01-01,2200-01-01
4149860,12955006,bibranche1,702200,Virksomhedsrådgivning og anden rådgivning om driftsledelse,2019-02-01,2200-01-01
4149860,12955006,hovedbranche,773900,"Udlejning og leasing af andet materiel, udstyr og andre materielle aktiver i.a.n.",2008-01-01,2019-01-31
4149860,12955006,hovedbranche,642020,Ikke-finansielle holdingselskaber,2019-02-01,2200-01-01
635668,12965109,hovedbranche,643030,Investeringsselskaber,2008-01-01,2200-01-01
4000844234,12994907,bibranche1,382110,Behandling og bortskaffelse af ikke-farligt affald,2008-01-01,2200-01-01
4000844234,12994907,hovedbranche,381100,Indsamling af ikke-farligt affald,2008-01-01,2200-01-01
4000850822,13009910,bibranche1,331200,Reparation af maskiner,2008-01-01,2200-01-01
4000850822,13009910,bibranche2,466900,Engroshandel med andre maskiner og andet udstyr,2008-01-01,2200-01-01
4000850822,13009910,hovedbranche,289300,"Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien",2008-01-01,2200-01-01
3532929,13014078,hovedbranche,433200,Tømrer- og bygningssnedkervirksomhed,2008-01-01,2200-01-01
4000843424,13016844,bibranche1,464620,Engroshandel med læge- og hospitalsartikler,2008-01-02,2200-01-01
4000843424,13016844,hovedbranche,325000,Fremstilling af medicinske og dentale instrumenter samt udstyr hertil,2008-01-01,2200-01-01
4000839071,13058946,hovedbranche,855900,Anden undervisning i.a.n.,2008-01-01,2200-01-01
4000839077,13059136,bibranche1,521000,Oplagrings- og pakhusvirksomhed,2008-01-01,2200-01-01
4000839077,13059136,bibranche2,522400,Godshåndtering,2014-01-01,2200-01-01
4000839077,13059136,hovedbranche,522920,Speditører,2008-01-01,2200-01-01
4000845279,13067635,bibranche1,463810,Engroshandel med fisk og fiskeprodukter,2008-01-01,2017-03-15
4000845279,13067635,hovedbranche,829200,Pakkerier,2008-01-01,2017-03-15
2934021,13069735,hovedbranche,282900,Fremstilling af andre maskiner til generelle formål i.a.n.,2008-01-01,2018-02-09
4000846177,13080976,hovedbranche,467100,"Engroshandel med fast, flydende og luftformigt brændstof og lignende varer",2008-01-01,2200-01-01
3570309,13088810,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-02,2015-12-31
3570309,13088810,bibranche1,620100,Computerprogrammering,2016-01-01,2200-01-01
3570309,13088810,hovedbranche,661900,Andre hjælpetjenester i forbindelse med finansiel formidling,1966-10-08,2014-10-21
3570309,13088810,hovedbranche,661900,Andre hjælpetjenester i forbindelse med finansiel formidling,2014-10-22,2200-01-01
4117665,13093032,hovedbranche,464620,Engroshandel med læge- og hospitalsartikler,2008-01-01,2200-01-01
4993795,13115575,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4000857223,13118205,hovedbranche,451120,"Detailhandel med personbiler, varebiler og minibusser",2008-01-01,2200-01-01
4000857228,13118477,hovedbranche,463890,Specialiseret engroshandel med fødevarer i.a.n.,2008-01-01,2200-01-01
4000858681,13131732,hovedbranche,773900,"Udlejning og leasing af andet materiel, udstyr og andre materielle aktiver i.a.n.",2008-01-01,2200-01-01
4000859889,13148570,bibranche1,771100,Udlejning og leasing af biler og lette motorkøretøjer,2015-04-23,2200-01-01
4000859889,13148570,hovedbranche,451120,"Detailhandel med personbiler, varebiler og minibusser",2008-01-01,2200-01-01
4000859898,13149003,bibranche1,464320,Engroshandel med radio og tv mv.,2012-01-01,2200-01-01
4000859898,13149003,hovedbranche,464910,"Engroshandel med cykler, sportsartikler og lystbåde",2008-01-01,2200-01-01
4000854835,13153604,bibranche1,682040,Udlejning af erhvervsejendomme,2011-06-01,2200-01-01
4000854835,13153604,hovedbranche,464610,Engroshandel med medicinalvarer og sygeplejeartikler,2008-01-01,2200-01-01
4000330920,13162573,hovedbranche,502000,Sø- og kysttransport af gods,2008-01-02,2200-01-01
4000861183,13164436,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4000859699,13166986,hovedbranche,469000,Ikke-specialiseret engroshandel,2008-01-01,2200-01-01
1414114,13170541,bibranche1,773200,Udlejning og leasing af entreprenørmateriel,2008-01-01,2200-01-01
1414114,13170541,bibranche2,81200,Grus- og sandgravning: indvinding af ler og kaolin,2008-01-02,2200-01-01
1414114,13170541,hovedbranche,16100,Serviceydelser i forbindelse med planteavl,2008-01-01,2200-01-01
1054048,13182841,hovedbranche,643030,Investeringsselskaber,2012-03-21,2016-12-16
4000855175,13184887,hovedbranche,433200,Tømrer- og bygningssnedkervirksomhed,2008-01-01,2200-01-01
4678278,13190631,hovedbranche,412000,Opførelse af bygninger,2008-01-01,2200-01-01
4000855322,13208573,hovedbranche,463200,Engroshandel med kød og kødprodukter,2008-01-01,2016-09-07
4000330932,13211647,hovedbranche,494100,Vejgodstransport,2008-01-01,2200-01-01
4000380721,13212538,hovedbranche,561010,Restauranter,2008-01-01,2200-01-01
4908308,13216002,hovedbranche,204200,"Fremstilling af parfume, hårshampoo, tandpasta mv.",2008-01-01,2200-01-01
4000856919,13222495,bibranche1,463200,Engroshandel med kød og kødprodukter,2008-01-02,2200-01-01
