cvrnummer,formkode,kortbeskrivelse,langbeskrivelse,gyldigfra,gyldigtil
14263942,60,A/S,Aktieselskab,1990-06-01,2200-01-01
14264132,60,A/S,Aktieselskab,1990-06-01,2200-01-01
13456402,60,A/S,Aktieselskab,1989-08-31,2200-01-01
13863385,60,A/S,Aktieselskab,1990-01-01,2200-01-01
13863938,60,A/S,Aktieselskab,1990-01-01,2200-01-01
13495173,60,A/S,Aktieselskab,1989-10-01,2200-01-01
13791082,60,A/S,Aktieselskab,1990-01-12,2015-07-27
12617585,60,A/S,Aktieselskab,2012-12-04,2016-11-16
12618875,60,A/S,Aktieselskab,1988-11-01,2200-01-01
13496803,60,A/S,Aktieselskab,1989-10-01,2200-01-01
12624638,60,A/S,Aktieselskab,1988-12-15,2200-01-01
13421838,60,A/S,Aktieselskab,1989-09-01,2200-01-01
13703906,60,A/S,Aktieselskab,1989-12-01,2200-01-01
13703973,60,A/S,Aktieselskab,1989-12-01,2200-01-01
13707294,60,A/S,Aktieselskab,1989-12-01,2200-01-01
13645043,60,A/S,Aktieselskab,1989-11-01,2200-01-01
14194711,60,A/S,Aktieselskab,1999-10-16,2200-01-01
12932375,60,A/S,Aktieselskab,1989-04-01,2200-01-01
13896909,60,A/S,Aktieselskab,1990-02-01,2200-01-01
13897573,60,A/S,Aktieselskab,1990-02-01,2200-01-01
13897603,60,A/S,Aktieselskab,1990-02-01,2200-01-01
14321802,60,A/S,Aktieselskab,1990-07-01,2200-01-01
14278176,60,A/S,Aktieselskab,1990-06-18,2200-01-01
13844070,60,A/S,Aktieselskab,1990-01-12,2200-01-01
14322981,60,A/S,Aktieselskab,1990-06-21,2200-01-01
13868611,60,A/S,Aktieselskab,1999-10-16,2200-01-01
13723540,60,A/S,Aktieselskab,1989-10-23,2200-01-01
13927634,60,A/S,Aktieselskab,1990-01-01,2200-01-01
14211241,60,A/S,Aktieselskab,1990-05-01,2200-01-01
13964289,60,A/S,Aktieselskab,2010-03-10,2200-01-01
14248293,60,A/S,Aktieselskab,1990-06-01,2015-01-12
14248331,60,A/S,Aktieselskab,1990-06-01,2200-01-01
14249141,60,A/S,Aktieselskab,1990-06-01,2200-01-01
14249230,60,A/S,Aktieselskab,1990-06-01,2200-01-01
14250794,60,A/S,Aktieselskab,1990-07-02,2200-01-01
14246045,60,A/S,Aktieselskab,1990-06-01,2200-01-01
14281746,60,A/S,Aktieselskab,1990-07-02,2200-01-01
14219102,60,A/S,Aktieselskab,2003-03-26,2200-01-01
13972648,60,A/S,Aktieselskab,1990-02-28,2200-01-01
14252533,60,A/S,Aktieselskab,1990-06-01,2200-01-01
14163328,60,A/S,Aktieselskab,1967-06-12,2200-01-01
13909709,60,A/S,Aktieselskab,1989-12-14,2200-01-01
14247238,60,A/S,Aktieselskab,1990-06-01,2200-01-01
14124985,60,A/S,Aktieselskab,1990-05-01,2018-11-05
14125043,60,A/S,Aktieselskab,1990-05-01,2200-01-01
14125345,60,A/S,Aktieselskab,1990-05-01,2200-01-01
14125388,60,A/S,Aktieselskab,1990-05-01,2200-01-01
14126104,60,A/S,Aktieselskab,1990-05-01,2200-01-01
13785546,60,A/S,Aktieselskab,1990-01-01,2200-01-01
13702098,60,A/S,Aktieselskab,1989-12-01,2200-01-01
14307184,60,A/S,Aktieselskab,1990-06-22,2200-01-01
14310940,60,A/S,Aktieselskab,1990-06-28,2200-01-01
14313443,60,A/S,Aktieselskab,1990-06-19,2200-01-01
14277137,60,A/S,Aktieselskab,1990-06-26,2200-01-01
13836795,60,A/S,Aktieselskab,2000-10-13,2200-01-01
13237409,60,A/S,Aktieselskab,1989-06-01,2200-01-01
13237689,60,A/S,Aktieselskab,1989-06-01,2200-01-01
13238006,60,A/S,Aktieselskab,1989-07-01,2200-01-01
13238189,60,A/S,Aktieselskab,1989-07-01,2200-01-01
13768390,60,A/S,Aktieselskab,1989-12-29,2200-01-01
13913072,60,A/S,Aktieselskab,1990-01-01,2200-01-01
14790993,60,A/S,Aktieselskab,1990-11-20,2200-01-01
13882037,60,A/S,Aktieselskab,1990-01-01,2200-01-01
13883408,60,A/S,Aktieselskab,1990-01-01,2200-01-01
13916306,60,A/S,Aktieselskab,1990-01-25,2200-01-01
14118586,60,A/S,Aktieselskab,2003-03-24,2015-08-25
14119280,60,A/S,Aktieselskab,1990-05-01,2200-01-01
14821791,60,A/S,Aktieselskab,1991-01-01,2016-09-14
13918740,60,A/S,Aktieselskab,1990-01-01,2200-01-01
13919941,60,A/S,Aktieselskab,1990-01-01,2200-01-01
14788484,60,A/S,Aktieselskab,1990-11-05,2200-01-01
13988102,60,A/S,Aktieselskab,1990-03-21,2200-01-01
13760381,60,A/S,Aktieselskab,1989-12-21,2200-01-01
14030573,60,A/S,Aktieselskab,1990-03-28,2200-01-01
13767084,60,A/S,Aktieselskab,1990-01-02,2200-01-01
14254498,60,A/S,Aktieselskab,1990-06-27,2200-01-01
13701806,60,A/S,Aktieselskab,1989-12-01,2200-01-01
13802696,60,A/S,Aktieselskab,1989-09-05,2200-01-01
14343571,60,A/S,Aktieselskab,1990-07-02,2200-01-01
14390871,60,A/S,Aktieselskab,1990-07-01,2200-01-01
14345140,60,A/S,Aktieselskab,1990-06-28,2200-01-01
14345507,60,A/S,Aktieselskab,1990-07-01,2200-01-01
14347836,60,A/S,Aktieselskab,2004-03-05,2016-04-07
14553800,60,A/S,Aktieselskab,1986-05-10,2200-01-01
14382844,60,A/S,Aktieselskab,1990-04-01,2200-01-01
14426507,60,A/S,Aktieselskab,1990-06-29,2200-01-01
14428771,60,A/S,Aktieselskab,1990-07-01,2200-01-01
14626786,60,A/S,Aktieselskab,1990-10-11,2200-01-01
14540733,60,A/S,Aktieselskab,1990-10-04,2200-01-01
14507701,60,A/S,Aktieselskab,1990-09-13,2200-01-01
14453431,60,A/S,Aktieselskab,1990-07-01,2200-01-01
14874798,60,A/S,Aktieselskab,1990-10-05,2200-01-01
14338276,60,A/S,Aktieselskab,1990-06-27,2200-01-01
14339701,60,A/S,Aktieselskab,1990-06-01,2200-01-01
14850139,60,A/S,Aktieselskab,1990-12-28,2200-01-01
14854738,60,A/S,Aktieselskab,1991-01-15,2200-01-01
14571108,60,A/S,Aktieselskab,1990-02-01,2200-01-01
13854106,60,A/S,Aktieselskab,1990-02-14,2019-04-30
13992444,60,A/S,Aktieselskab,1990-03-15,2200-01-01
14485546,60,A/S,Aktieselskab,1990-09-03,2200-01-01
14406492,60,A/S,Aktieselskab,1990-07-01,2200-01-01
14406689,60,A/S,Aktieselskab,1990-07-01,2200-01-01
14375597,60,A/S,Aktieselskab,1990-08-01,2200-01-01
13997144,60,A/S,Aktieselskab,1990-02-01,2200-01-01
14412999,60,A/S,Aktieselskab,1990-08-06,2200-01-01
14814833,60,A/S,Aktieselskab,1991-01-09,2200-01-01
14815198,60,A/S,Aktieselskab,1990-10-08,2200-01-01
14815236,60,A/S,Aktieselskab,1990-10-08,2014-12-15
14815244,60,A/S,Aktieselskab,1990-10-08,2200-01-01
14815376,60,A/S,Aktieselskab,1990-11-19,2200-01-01
14336796,60,A/S,Aktieselskab,1990-07-13,2200-01-01
15235918,60,A/S,Aktieselskab,1959-03-02,2200-01-01
15238712,60,A/S,Aktieselskab,1933-04-06,2200-01-01
15150033,60,A/S,Aktieselskab,1991-05-01,2200-01-01
15069511,60,A/S,Aktieselskab,1967-08-30,2200-01-01
15164417,60,A/S,Aktieselskab,1955-03-14,2200-01-01
15150505,60,A/S,Aktieselskab,1991-05-01,2200-01-01
15107405,60,A/S,Aktieselskab,1991-04-01,2015-04-22
15107588,60,A/S,Aktieselskab,1991-05-01,2200-01-01
15109130,60,A/S,Aktieselskab,1991-04-01,2200-01-01
14974237,60,A/S,Aktieselskab,1991-04-02,2200-01-01
15107073,60,A/S,Aktieselskab,1991-04-01,2015-04-30
15233699,60,A/S,Aktieselskab,1991-06-06,2200-01-01
15083131,60,A/S,Aktieselskab,1991-05-01,2200-01-01
15359404,60,A/S,Aktieselskab,1991-08-01,2200-01-01
15359439,60,A/S,Aktieselskab,1991-08-01,2015-08-06
15362812,60,A/S,Aktieselskab,1964-03-01,2200-01-01
15110589,60,A/S,Aktieselskab,1991-04-01,2200-01-01
15110899,60,A/S,Aktieselskab,1991-04-01,2200-01-01
15085479,60,A/S,Aktieselskab,1991-05-01,2200-01-01
15116498,60,A/S,Aktieselskab,1991-04-01,2017-01-04
15386940,60,A/S,Aktieselskab,1991-08-01,2200-01-01
15155299,60,A/S,Aktieselskab,2000-05-31,2200-01-01
15356006,60,A/S,Aktieselskab,1991-08-01,2018-10-12
15417994,60,A/S,Aktieselskab,1991-06-26,2200-01-01
15049847,60,A/S,Aktieselskab,1991-01-01,2200-01-01
15200081,60,A/S,Aktieselskab,1991-06-01,2200-01-01
15201304,60,A/S,Aktieselskab,1991-06-01,2200-01-01
15258330,60,A/S,Aktieselskab,1991-06-10,2200-01-01
14996613,60,A/S,Aktieselskab,1999-10-16,2200-01-01
14893695,60,A/S,Aktieselskab,1991-02-21,2200-01-01
15214236,60,A/S,Aktieselskab,1991-07-01,2200-01-01
15214678,60,A/S,Aktieselskab,1991-06-27,2200-01-01
15000295,60,A/S,Aktieselskab,1991-01-01,2200-01-01
15277092,60,A/S,Aktieselskab,1991-07-01,2200-01-01
15277335,60,A/S,Aktieselskab,1991-07-01,2200-01-01
14982442,60,A/S,Aktieselskab,1991-03-01,2200-01-01
15013230,60,A/S,Aktieselskab,1991-01-01,2200-01-01
15013788,60,A/S,Aktieselskab,1991-01-01,2200-01-01
15251549,60,A/S,Aktieselskab,1991-07-03,2014-08-25
15252294,60,A/S,Aktieselskab,1991-07-01,2200-01-01
15280506,60,A/S,Aktieselskab,1991-07-01,2015-04-27
14449507,60,A/S,Aktieselskab,1990-08-24,2200-01-01
14450807,60,A/S,Aktieselskab,1990-08-01,2200-01-01
15179937,60,A/S,Aktieselskab,1991-06-01,2200-01-01
15290773,60,A/S,Aktieselskab,1991-07-01,2200-01-01
15291133,60,A/S,Aktieselskab,1991-07-01,2200-01-01
14605789,60,A/S,Aktieselskab,1990-10-01,2014-06-17
15223332,60,A/S,Aktieselskab,1991-06-26,2200-01-01
15294744,60,A/S,Aktieselskab,1991-05-31,2200-01-01
14747079,60,A/S,Aktieselskab,1990-09-01,2200-01-01
14747346,60,A/S,Aktieselskab,1990-09-01,2018-09-17
14748105,60,A/S,Aktieselskab,2016-10-05,2200-01-01
14749292,60,A/S,Aktieselskab,1990-12-21,2200-01-01
15121505,60,A/S,Aktieselskab,1991-02-01,2200-01-01
15395133,60,A/S,Aktieselskab,1991-06-15,2200-01-01
15368985,60,A/S,Aktieselskab,1991-07-15,2018-04-24
15271728,60,A/S,Aktieselskab,1959-10-15,2200-01-01
15272473,60,A/S,Aktieselskab,1991-06-20,2200-01-01
15401281,60,A/S,Aktieselskab,1991-08-27,2200-01-01
15429690,60,A/S,Aktieselskab,2006-12-20,2200-01-01
15134739,60,A/S,Aktieselskab,1991-01-01,2200-01-01
15380594,60,A/S,Aktieselskab,1991-08-19,2200-01-01
15694807,60,A/S,Aktieselskab,1992-02-01,2200-01-01
15694882,60,A/S,Aktieselskab,1992-02-01,2200-01-01
15672234,60,A/S,Aktieselskab,1991-11-01,2200-01-01
15827971,60,A/S,Aktieselskab,1992-01-01,2200-01-01
15736240,60,A/S,Aktieselskab,1992-08-01,2200-01-01
15736607,60,A/S,Aktieselskab,1992-02-01,2200-01-01
15806931,60,A/S,Aktieselskab,1991-12-12,2200-01-01
15789182,60,A/S,Aktieselskab,1971-06-18,2200-01-01
15790407,60,A/S,Aktieselskab,1986-02-17,2200-01-01
15512172,60,A/S,Aktieselskab,1991-10-01,2018-07-05
15512415,60,A/S,Aktieselskab,1960-02-27,2200-01-01
15808241,60,A/S,Aktieselskab,1992-01-16,2200-01-01
15808292,60,A/S,Aktieselskab,1992-01-16,2200-01-01
15596589,60,A/S,Aktieselskab,1991-11-11,2200-01-01
15302798,60,A/S,Aktieselskab,1991-06-25,2200-01-01
15603712,60,A/S,Aktieselskab,1946-12-16,2200-01-01
15660481,60,A/S,Aktieselskab,1991-10-23,2200-01-01
15660511,60,A/S,Aktieselskab,1976-09-28,2014-11-18
15661135,60,A/S,Aktieselskab,1991-11-01,2200-01-01
15908416,60,A/S,Aktieselskab,1955-03-25,2200-01-01
15880597,60,A/S,Aktieselskab,1992-02-03,2200-01-01
15798416,60,A/S,Aktieselskab,1933-06-01,2200-01-01
15651687,60,A/S,Aktieselskab,1999-12-07,2017-10-06
15683309,60,A/S,Aktieselskab,1991-11-01,2015-10-08
15685433,60,A/S,Aktieselskab,1991-11-01,2200-01-01
15911972,60,A/S,Aktieselskab,1992-05-01,2200-01-01
15911980,60,A/S,Aktieselskab,1992-05-01,2200-01-01
15515791,60,A/S,Aktieselskab,1991-10-01,2200-01-01
15516046,60,A/S,Aktieselskab,1991-10-01,2200-01-01
15742984,60,A/S,Aktieselskab,1991-09-02,2200-01-01
15884193,60,A/S,Aktieselskab,1992-01-01,2200-01-01
15500999,60,A/S,Aktieselskab,1991-09-01,2200-01-01
15501707,60,A/S,Aktieselskab,1991-09-01,2200-01-01
15502037,60,A/S,Aktieselskab,1991-09-01,2200-01-01
15502207,60,A/S,Aktieselskab,1991-09-01,2200-01-01
15505281,60,A/S,Aktieselskab,1991-07-26,2200-01-01
15960507,60,A/S,Aktieselskab,2007-06-27,2200-01-01
16279781,60,A/S,Aktieselskab,1992-07-01,2200-01-01
16279889,60,A/S,Aktieselskab,1992-07-01,2200-01-01
16314285,60,A/S,Aktieselskab,1992-08-01,2200-01-01
16314897,60,A/S,Aktieselskab,1992-08-01,2200-01-01
16315079,60,A/S,Aktieselskab,1992-08-01,2016-09-27
16316083,60,A/S,Aktieselskab,1992-08-03,2200-01-01
16316296,60,A/S,Aktieselskab,1992-08-01,2200-01-01
16316792,60,A/S,Aktieselskab,1992-08-07,2014-09-24
16069248,60,A/S,Aktieselskab,1992-04-24,2200-01-01
15978333,60,A/S,Aktieselskab,1992-02-15,2200-01-01
16415588,60,A/S,Aktieselskab,1992-09-24,2200-01-01
16313440,60,A/S,Aktieselskab,1992-08-01,2200-01-01
16152501,60,A/S,Aktieselskab,1992-05-04,2200-01-01
16321435,60,A/S,Aktieselskab,1992-08-01,2200-01-01
16463531,60,A/S,Aktieselskab,1992-10-02,2200-01-01
16113298,60,A/S,Aktieselskab,1992-01-15,2017-08-13
16218685,60,A/S,Aktieselskab,1992-06-01,2200-01-01
16221341,60,A/S,Aktieselskab,1992-06-24,2200-01-01
16423041,60,A/S,Aktieselskab,1992-07-01,2200-01-01
15524286,60,A/S,Aktieselskab,1991-10-01,2200-01-01
16277681,60,A/S,Aktieselskab,1992-07-01,2014-06-30
16278203,60,A/S,Aktieselskab,1992-07-01,2200-01-01
16278874,60,A/S,Aktieselskab,1992-07-01,2200-01-01
16257303,60,A/S,Aktieselskab,1992-06-01,2200-01-01
16231991,60,A/S,Aktieselskab,1992-06-29,2200-01-01
16049441,60,A/S,Aktieselskab,1992-03-16,2200-01-01
16264385,60,A/S,Aktieselskab,1992-04-28,2200-01-01
16404977,60,A/S,Aktieselskab,1992-10-01,2200-01-01
16509191,60,A/S,Aktieselskab,1992-11-17,2016-08-28
16128589,60,A/S,Aktieselskab,2004-04-22,2200-01-01
16157473,60,A/S,Aktieselskab,1992-05-21,2200-01-01
16467596,60,A/S,Aktieselskab,2001-02-10,2200-01-01
16436941,60,A/S,Aktieselskab,1992-09-01,2200-01-01
16132195,60,A/S,Aktieselskab,2001-03-07,2200-01-01
16191639,60,A/S,Aktieselskab,1992-06-18,2016-05-26
16441104,60,A/S,Aktieselskab,1992-10-01,2200-01-01
16165476,60,A/S,Aktieselskab,1992-01-01,2200-01-01
16222577,60,A/S,Aktieselskab,1992-07-01,2200-01-01
16167134,60,A/S,Aktieselskab,2003-12-18,2200-01-01
16227641,60,A/S,Aktieselskab,1992-07-01,2200-01-01
16174297,60,A/S,Aktieselskab,1992-03-01,2200-01-01
17049674,60,A/S,Aktieselskab,2005-03-17,2200-01-01
16210714,60,A/S,Aktieselskab,1999-10-16,2200-01-01
16212881,60,A/S,Aktieselskab,1992-01-02,2200-01-01
17091840,60,A/S,Aktieselskab,1993-05-01,2016-12-13
17096087,60,A/S,Aktieselskab,2012-02-22,2200-01-01
16271187,60,A/S,Aktieselskab,1992-07-01,2200-01-01
16273031,60,A/S,Aktieselskab,2002-11-21,2200-01-01
16043591,60,A/S,Aktieselskab,1992-04-26,2015-02-05
16275034,60,A/S,Aktieselskab,1992-07-01,2200-01-01
16276480,60,A/S,Aktieselskab,1992-07-01,2200-01-01
16047686,60,A/S,Aktieselskab,1992-03-25,2200-01-01
16242780,60,A/S,Aktieselskab,1992-07-01,2200-01-01
16242799,60,A/S,Aktieselskab,1992-07-01,2200-01-01
16963038,60,A/S,Aktieselskab,1977-01-19,2200-01-01
16139084,60,A/S,Aktieselskab,1992-05-20,2200-01-01
16992445,60,A/S,Aktieselskab,1993-05-17,2200-01-01
16993409,60,A/S,Aktieselskab,1993-04-01,2200-01-01
16994006,60,A/S,Aktieselskab,1993-04-01,2200-01-01
16994200,60,A/S,Aktieselskab,1993-04-01,2200-01-01
16997579,60,A/S,Aktieselskab,1993-05-18,2200-01-01
17024280,60,A/S,Aktieselskab,2000-04-19,2200-01-01
17024531,60,A/S,Aktieselskab,1993-06-01,2200-01-01
17025201,60,A/S,Aktieselskab,2013-04-30,2017-10-17
16842486,60,A/S,Aktieselskab,1993-03-12,2017-01-13
16625299,60,A/S,Aktieselskab,1992-12-10,2200-01-01
16739073,60,A/S,Aktieselskab,1992-12-30,2200-01-01
16731803,60,A/S,Aktieselskab,1992-12-28,2200-01-01
16932698,60,A/S,Aktieselskab,2007-03-02,2200-01-01
16882194,60,A/S,Aktieselskab,1993-02-02,2200-01-01
16935697,60,A/S,Aktieselskab,2007-11-06,2200-01-01
16597988,60,A/S,Aktieselskab,1992-11-16,2200-01-01
16835048,60,A/S,Aktieselskab,2006-04-21,2200-01-01
17484575,60,A/S,Aktieselskab,1993-11-01,2200-01-01
16920401,60,A/S,Aktieselskab,1993-03-30,2200-01-01
16368709,60,A/S,Aktieselskab,2007-08-20,2200-01-01
16926191,60,A/S,Aktieselskab,1993-03-01,2200-01-01
16649201,60,A/S,Aktieselskab,1992-12-30,2200-01-01
16930008,60,A/S,Aktieselskab,1993-03-01,2200-01-01
17423401,60,A/S,Aktieselskab,2000-01-27,2200-01-01
17423770,60,A/S,Aktieselskab,1993-12-01,2200-01-01
16930431,60,A/S,Aktieselskab,1993-03-01,2200-01-01
16931098,60,A/S,Aktieselskab,1993-03-01,2200-01-01
16821977,60,A/S,Aktieselskab,1993-02-05,2200-01-01
17352199,60,A/S,Aktieselskab,1993-11-15,2200-01-01
16574317,60,A/S,Aktieselskab,1968-08-02,2200-01-01
17010131,60,A/S,Aktieselskab,1993-01-01,2200-01-01
17010344,60,A/S,Aktieselskab,1993-01-01,2200-01-01
17013718,60,A/S,Aktieselskab,1961-05-03,2200-01-01
17045210,60,A/S,Aktieselskab,1963-07-09,2200-01-01
17045636,60,A/S,Aktieselskab,1993-06-11,2200-01-01
17083287,60,A/S,Aktieselskab,1993-06-17,2200-01-01
17085204,60,A/S,Aktieselskab,1993-06-08,2200-01-01
16672408,60,A/S,Aktieselskab,1993-01-04,2200-01-01
16984779,60,A/S,Aktieselskab,1993-04-01,2200-01-01
16888419,60,A/S,Aktieselskab,1921-05-27,2200-01-01
16610178,60,A/S,Aktieselskab,1992-12-17,2200-01-01
16707945,60,A/S,Aktieselskab,2009-03-10,2200-01-01
17263005,60,A/S,Aktieselskab,1993-09-01,2200-01-01
17611542,60,A/S,Aktieselskab,2004-10-01,2200-01-01
17612395,60,A/S,Aktieselskab,1994-02-01,2015-12-22
17610708,60,A/S,Aktieselskab,1994-01-01,2200-01-01
17610872,60,A/S,Aktieselskab,1994-01-01,2200-01-01
17554034,60,A/S,Aktieselskab,1994-01-01,2200-01-01
17554077,60,A/S,Aktieselskab,1994-01-01,2200-01-01
17555448,60,A/S,Aktieselskab,1994-01-01,2016-01-27
17148605,60,A/S,Aktieselskab,1993-07-01,2200-01-01
17232878,60,A/S,Aktieselskab,1993-09-15,2016-04-14
17409646,60,A/S,Aktieselskab,1993-10-29,2200-01-01
17465031,60,A/S,Aktieselskab,1993-12-21,2200-01-01
17153684,60,A/S,Aktieselskab,2005-11-23,2200-01-01
17184210,60,A/S,Aktieselskab,1941-04-25,2200-01-01
17512692,60,A/S,Aktieselskab,1993-12-28,2200-01-01
17490346,60,A/S,Aktieselskab,1993-12-14,2200-01-01
17470833,60,A/S,Aktieselskab,1993-12-22,2200-01-01
17472577,60,A/S,Aktieselskab,1993-12-01,2200-01-01
17472631,60,A/S,Aktieselskab,1993-12-01,2200-01-01
17260839,60,A/S,Aktieselskab,1993-09-01,2200-01-01
17523716,60,A/S,Aktieselskab,1964-08-26,2200-01-01
17371444,60,A/S,Aktieselskab,1993-10-27,2015-11-11
17371487,60,A/S,Aktieselskab,1993-10-27,2200-01-01
17531328,60,A/S,Aktieselskab,1954-03-29,2200-01-01
17509543,60,A/S,Aktieselskab,1993-12-29,2200-01-01
17561928,60,A/S,Aktieselskab,1955-01-24,2200-01-01
17559737,60,A/S,Aktieselskab,1994-01-01,2200-01-01
17881248,60,A/S,Aktieselskab,1994-06-01,2200-01-01
17377205,60,A/S,Aktieselskab,1993-11-19,2200-01-01
17541307,60,A/S,Aktieselskab,1994-01-24,2200-01-01
17442449,60,A/S,Aktieselskab,1993-12-02,2200-01-01
17177176,60,A/S,Aktieselskab,1993-08-27,2015-06-25
17444387,60,A/S,Aktieselskab,1993-12-06,2200-01-01
16954241,60,A/S,Aktieselskab,1993-05-17,2200-01-01
17702572,60,A/S,Aktieselskab,1994-03-01,2200-01-01
17702785,60,A/S,Aktieselskab,1994-03-01,2200-01-01
17915215,60,A/S,Aktieselskab,1956-03-31,2200-01-01
17729071,60,A/S,Aktieselskab,1994-05-03,2200-01-01
17951831,60,A/S,Aktieselskab,1994-07-01,2200-01-01
17952072,60,A/S,Aktieselskab,1994-08-03,2200-01-01
17952234,60,A/S,Aktieselskab,2006-11-28,2200-01-01
17736590,60,A/S,Aktieselskab,1994-04-15,2200-01-01
17738739,60,A/S,Aktieselskab,2000-05-18,2200-01-01
17774905,60,A/S,Aktieselskab,2002-06-07,2014-08-11
17940384,60,A/S,Aktieselskab,2004-12-15,2200-01-01
18052385,60,A/S,Aktieselskab,1994-08-29,2200-01-01
17827987,60,A/S,Aktieselskab,1994-05-30,2200-01-01
17775693,60,A/S,Aktieselskab,1994-04-18,2200-01-01
17858092,60,A/S,Aktieselskab,1994-04-20,2200-01-01
17969234,60,A/S,Aktieselskab,1994-06-20,2200-01-01
17888641,60,A/S,Aktieselskab,1994-07-01,2015-01-30
17888749,60,A/S,Aktieselskab,1994-07-01,2200-01-01
17889087,60,A/S,Aktieselskab,1994-07-01,2200-01-01
17981544,60,A/S,Aktieselskab,1994-08-08,2200-01-01
17890204,60,A/S,Aktieselskab,1994-07-01,2200-01-01
17890832,60,A/S,Aktieselskab,1994-07-01,2200-01-01
17981684,60,A/S,Aktieselskab,1994-08-01,2200-01-01
17981994,60,A/S,Aktieselskab,1994-08-01,2200-01-01
17694235,60,A/S,Aktieselskab,1994-04-05,2200-01-01
17694707,60,A/S,Aktieselskab,1994-02-22,2200-01-01
17208004,60,A/S,Aktieselskab,1993-08-01,2015-07-08
17630695,60,A/S,Aktieselskab,1994-02-07,2200-01-01
17630903,60,A/S,Aktieselskab,1994-02-07,2200-01-01
17758683,60,A/S,Aktieselskab,1994-04-21,2200-01-01
18066602,60,A/S,Aktieselskab,1994-10-03,2200-01-01
18036800,60,A/S,Aktieselskab,1994-09-22,2200-01-01
17813587,60,A/S,Aktieselskab,2011-05-16,2016-07-01
17835890,60,A/S,Aktieselskab,1994-05-01,2200-01-01
18491370,60,A/S,Aktieselskab,1995-04-01,2200-01-01
18249871,60,A/S,Aktieselskab,1995-01-01,2200-01-01
18493195,60,A/S,Aktieselskab,1995-04-01,2200-01-01
18254174,60,A/S,Aktieselskab,1994-12-01,2200-01-01
18388545,60,A/S,Aktieselskab,1995-02-03,2200-01-01
18138484,60,A/S,Aktieselskab,1994-11-01,2200-01-01
18139480,60,A/S,Aktieselskab,1994-10-14,2200-01-01
18530902,60,A/S,Aktieselskab,1995-05-01,2200-01-01
18378043,60,A/S,Aktieselskab,1994-12-27,2200-01-01
17956876,60,A/S,Aktieselskab,1994-08-22,2018-06-01
18426730,60,A/S,Aktieselskab,1995-01-14,2200-01-01
18234114,60,A/S,Aktieselskab,1920-05-31,2200-01-01
18236133,60,A/S,Aktieselskab,1994-12-01,2200-01-01
18479893,60,A/S,Aktieselskab,2000-11-30,2200-01-01
18457970,60,A/S,Aktieselskab,1995-03-01,2200-01-01
18458144,60,A/S,Aktieselskab,1995-03-31,2200-01-01
18243040,60,A/S,Aktieselskab,1994-12-23,2200-01-01
18338696,60,A/S,Aktieselskab,1995-03-10,2200-01-01
18372770,60,A/S,Aktieselskab,1995-01-06,2200-01-01
18967138,60,A/S,Aktieselskab,2003-01-16,2015-04-17
18355728,60,A/S,Aktieselskab,1966-04-01,2200-01-01
18355949,60,A/S,Aktieselskab,1995-02-01,2200-01-01
18797143,60,A/S,Aktieselskab,1995-08-22,2200-01-01
18798794,60,A/S,Aktieselskab,1995-06-28,2200-01-01
18802996,60,A/S,Aktieselskab,1995-09-07,2200-01-01
18803291,60,A/S,Aktieselskab,1995-08-07,2200-01-01
18411709,60,A/S,Aktieselskab,1995-03-01,2200-01-01
18586908,60,A/S,Aktieselskab,1995-06-07,2200-01-01
18747685,60,A/S,Aktieselskab,1995-06-28,2200-01-01
18669137,60,A/S,Aktieselskab,2008-04-14,2200-01-01
18901331,60,A/S,Aktieselskab,1995-11-06,2200-01-01
18624141,60,A/S,Aktieselskab,1995-06-26,2200-01-01
18912236,60,A/S,Aktieselskab,1995-10-11,2200-01-01
18831678,60,A/S,Aktieselskab,1995-09-13,2200-01-01
18070073,60,A/S,Aktieselskab,1994-09-01,2200-01-01
18936135,60,A/S,Aktieselskab,2001-09-10,2200-01-01
18936984,60,A/S,Aktieselskab,1995-11-01,2200-01-01
18590999,60,A/S,Aktieselskab,2002-07-05,2017-09-19
18645343,60,A/S,Aktieselskab,2003-12-30,2200-01-01
18642484,60,A/S,Aktieselskab,1995-07-01,2200-01-01
18939576,60,A/S,Aktieselskab,1995-11-25,2200-01-01
18940175,60,A/S,Aktieselskab,1995-11-16,2200-01-01
18940884,60,A/S,Aktieselskab,1995-10-26,2200-01-01
18860988,60,A/S,Aktieselskab,2008-04-02,2200-01-01
18867842,60,A/S,Aktieselskab,2002-11-15,2200-01-01
18809036,60,A/S,Aktieselskab,1995-05-05,2200-01-01
18706245,60,A/S,Aktieselskab,1995-08-01,2200-01-01
18836408,60,A/S,Aktieselskab,1995-10-02,2200-01-01
18540576,60,A/S,Aktieselskab,1995-04-12,2200-01-01
18722399,60,A/S,Aktieselskab,2005-06-22,2200-01-01
19033546,60,A/S,Aktieselskab,1995-12-22,2200-01-01
19055108,60,A/S,Aktieselskab,1995-12-20,2200-01-01
19089800,60,A/S,Aktieselskab,1996-02-01,2200-01-01
19265501,60,A/S,Aktieselskab,2010-06-30,2200-01-01
19094308,60,A/S,Aktieselskab,1995-12-28,2200-01-01
18296675,60,A/S,Aktieselskab,1994-12-30,2200-01-01
18296799,60,A/S,Aktieselskab,1995-01-01,2200-01-01
19151085,60,A/S,Aktieselskab,1996-02-28,2200-01-01
19176878,60,A/S,Aktieselskab,1996-02-27,2200-01-01
18984431,60,A/S,Aktieselskab,1995-11-01,2019-01-03
